"user_login","display_name","avatar","description"
"sauk","Андрій Саук","/avatars/sauk-da-avatar.jpg","Співзасновник Школи ефективного ОСББ, депутат Броварської міської ради (фракція ""Демократичний Альянс""), член постійної комісії з питань комунальної власності, приватизації, житлово-комунального господарства та благоустрою"
"poroshenko-brovary","БПП ""Солідарність""","/avatars/bpp-rayon-avatar.jpg","Броварський районний осередок партії ""Блок Петра Порошенка ""Солідарність"""
"gromradapolice","Громадська рада при міліції","/avatars/384632622-avatar.jpg","Громадська рада при Броварському МВ ГУ МВС України в Київській області"
"balabaev","Андрій Балабаєв","/avatars/balabayev-avatar.jpg","Голова виконкому ПП ""Удар"""
"batky_brovary","Асоціація батьків Броварів","/avatars/batki-avatar.jpg","Громадська організація ""Асоціація батьків м. Бровари"""
"serhij batuk","Батюк Сергій","/avatars/11079659_819774864765229_6983104994720849544_n-cropped.jpg",
"kuznecov","Кузнєцов Володимир","/avatars/imag1198-cropped.jpg","Активіст броварської міської організації політичної партії ""УДАР"""
"komarovskyj","Комаровський Олексій","/avatars/205448_202767159763964_5848068_n-avatar.jpg","Журналіст ""Маєш право знати"""
"nikitchina","Ірина Нікітчина","/avatars/12633175_1501072136866799_114519531_o-avatar.jpg","Громадська активістка, член Штабу з розробки та громадського обговорення змін до Генерального плану міста Бровари, фахівець з питань архітектури, помічник депутата Броварської міської ради Андрія Саука"
"berestovyj","Олег Берестовий","/avatars/img_9640-600x600-avatar.jpg","Депутат Броварської міської ради, фракція ДемАльянс"
"leshchyk","Ольга Лещик","/avatars/1505989_1406043229704350_5954442360128746021_n-avatar.jpg","Молодий журналіст, громадський активіст"
"bilokin","Білокінь Андрій","/avatars/11048706_913345298711595_89267171627983728_o-cropped.jpg","Громадський активіст"
"bazhen","Левковець Бажен","/avatars/12-117-avatar.jpg","Броварчанин, громадський активіст, інженер-радіофізик"
"gavryshchuk","Гаврищук Валентин","/avatars/10562939_1415376692089080_4946514290419252069_n-avatar.jpg","Броварчанин, студент, голова броварського осередку Молоді ДемАльянсу."
"los","Лось Олена","/avatars/photo-119.jpg","Журналіст, броварчанка"
"siverska","Олена Сіверська","/avatars/olenka-siverska-avatar.png","Громадська активістка міста Бровари"
"jacyv","Світлана Яцив","/avatars/sveta-avatar.jpg","Фотограф, кореспондент"
"simutin","Роман Сімутін","/avatars/osnovne-foto-cropped.jpg","Депутат Київської обласної ради"
"zakharmuzhik","At Brovary","/avatars/11138587_1429229004059726_789852538350924003_n-avatar.jpg","Інтернет-спільнота ""At Brovary"""
"onikienko","Вікторія Оникієнко","/avatars/vika-onikiyenko-foto-2-avatar.jpg","Журналістка ""Маєш право знати"", броварчанка"
"kupriy","Валерій Купрій","/avatars/2014-03-25.jpg","Політичний та громадський активіст"
"cherednik","Юрій Чередник","/avatars/1422630_1583420471920232_2007786976293153066_n-avatar.jpg","Депутат Броварської міської ради VIІ скликання"
"leszczyk","Надія Лещик","/avatars/l.jpg","Освітній менеджер, громадській активіст, заступник голови Громадської ради при Управлінні освіти і науки Броварської міської ради"
"vetrinskiy","Юрій Ветринський","/avatars/vetrynskyj-cropped.png","Фінансовий аналітик, інструктор з альпінізму, людина з активною громадянською позицією"
"batkivshchyna","Батьківщина","/avatars/10622899_536141703199289_3505861072744006171_n.png","ВО ""Батьківщина"" м. Бровари"
"OSBB","Ресурсний центр ОСББ м.Бровари","/avatars/11042672_335245193345831_3129480335412932_n-avatar.jpg","Громадська організація"
"SergIlliukhin","Сергій Іллюхін","/avatars/img_9499-600x600-avatar.jpg","Броварчанин, громадський активіст, голова Київської обласної організації політичної партії ""ДемАльянс"""
"vtorma","Бровари Вторма","/avatars/1897862_1462907214020969_8916036033319189010_n-avatar.jpg","ТОВ «БРОВАРИ-ВТОРМА» - броварське підприємство, яке спеціалізується на закупівлі, продажу, утилізації та переробці вторинної сировини і відходів"
"cherepejnik","Леонід Черепейнік","/avatars/14054062_1757597864505615_8601430692271008039_n-cropped.jpg","Депутат Броварської міської ради VII скликання, підприємець"
"Scientific_view","Ольга Романенко","/avatars/13438985_1354213777929234_7825635446760044125_n-avatar.jpg","Доктор філософії в економіці, викладач університету, 
член Ради молодих вчених при Міністерстві освіти і науки України"
"parobok","Паробок Дмитро","/avatars/11960143_10208040935250645_3153765546618678369_n-avatar.jpg","Громадський активіст, заступник генерального директора з економіки та фінансів ДГП ""Укргеофізика"""
"ostapkovych","Олександр Остапкович","/avatars/foto-ostapkovych-avatar.jpg","Мешканець Броварів, громадський активіст, директор проектного бюро «Майстер Проект»"
"ulitenko","Ірина Улітенко","/avatars/13775543_1079760695435896_9138038083246565957_n-avatar.jpg","Журналістка ""Маєш право знати"""
"korolenko","Олександр Короленко","/avatars/korolenko-avatar.jpg","Інженер-будівельник, громадський активіст, помічник депутата Київської обласної ради Олексія Дорошенка (Самопоміч)"
"sikora","Іван Сікора","/avatars/ivan-opora-usm-3-avatar.jpg","Експерт з питань антикорупційної та бюджетної політики Фундації «Відкрите суспільство», керівник проекту «Громадський моніторинг виділення фондів для округу»"
"noskova","Марина Носкова","/avatars/12314065_617413971733335_8976488546486981137_n-avatar.jpg",
"krokos","Владислава Крокос","/avatars/16003110_387940001557385_5988660708581209082_n-avatar.jpg","Броварчанка, молода журналістка"
"tkachuk","Вікторія Ткачук","/avatars/14292260_1739491382939893_8943301918606148685_n-avatar.jpg","Журналістка ""Маєш право знати"""
"nakonechna","Наталія Наконечна","/avatars/5i029belq_e-avatar.jpg","Броварчанка, молода журналістка"
"kozlova","Ангеліна Козлова","/avatars/17191233_1802741523320113_898724770572555607_n-avatar.jpg","Активістка, помічниця депутата Андрія Саука, мешкає в Броварах"
